Year,imdb,Title,clean_test,binary,budget,gross,grosscode,,,,,
2003,tt0322259,2 Fast 2 Furious,notalk,FAIL,76000000,127120058,Domestic Gross (US),,,,,
2003,tt0322259,2 Fast 2 Furious,notalk,FAIL,76000000,236220058,International Gross,,,,,
2013,tt1272878,2 Guns,notalk,FAIL,61000000,75612460,Domestic Gross (US),,,,,
2013,tt1272878,2 Guns,notalk,FAIL,61000000,132493015,International Gross,,,,,
2013,tt1711425,21 & Over,notalk,FAIL,13000000,25682380,Domestic Gross (US),,,,,
2013,tt1711425,21 & Over,notalk,FAIL,13000000,42195766,International Gross,,,,,
2003,tt0315733,21 grams,dubious,FAIL,20000000,16248701,Domestic Gross (US),,,,,
2003,tt0315733,21 grams,dubious,FAIL,20000000,59667625,International Gross,,,,,
2002,tt0307901,25th Hour,men,FAIL,4500000,13084595,Domestic Gross (US),,,,,
2002,tt0307901,25th Hour,men,FAIL,4500000,25344490,International Gross,,,,,
2000,tt0191754,28 Days,ok,PASS,43000000,37035515,Domestic Gross (US),,,,,
2000,tt0191754,28 Days,ok,PASS,43000000,62063972,International Gross,,,,,
2002,tt0289043,28 Days Later...,ok,PASS,8000000,45064915,Domestic Gross (US),,,,,
2002,tt0289043,28 Days Later...,ok,PASS,8000000,82955633,International Gross,,,,,
2007,tt0463854,28 Weeks Later,ok,PASS,15000000,28638916,Domestic Gross (US),,,,,
2007,tt0463854,28 Weeks Later,ok,PASS,15000000,64232714,International Gross,,,,,
2007,tt0381849,3:10 to Yuma,nowomen,FAIL,48000000,53606916,Domestic Gross (US),,,,,
2007,tt0381849,3:10 to Yuma,nowomen,FAIL,48000000,71171825,International Gross,,,,,
2007,tt0389722,30 Days of Night,men,FAIL,30000000,39568996,Domestic Gross (US),,,,,
2007,tt0389722,30 Days of Night,men,FAIL,30000000,80276156,International Gross,,,,,
2011,tt1622547,30 Minutes or Less,notalk,FAIL,28000000,37053924,Domestic Gross (US),,,,,
2011,tt1622547,30 Minutes or Less,notalk,FAIL,28000000,40966716,International Gross,,,,,
2013,tt1335975,47 Ronin,men,FAIL,225000000,38362475,Domestic Gross (US),,,,,
2013,tt1335975,47 Ronin,men,FAIL,225000000,145803842,International Gross,,,,,
2004,tt0343660,50 First Dates,men,FAIL,75000000,120776832,Domestic Gross (US),,,,,
2004,tt0343660,50 First Dates,men,FAIL,75000000,196324496,International Gross,,,,,
2011,tt1306980,50/50,men,FAIL,8000000,35016118,Domestic Gross (US),,,,,
2011,tt1306980,50/50,men,FAIL,8000000,41334735,International Gross,,,,,
2002,tt0283832,8 femmes,ok,PASS,8000000,3076425,Domestic Gross (US),,,,,
2002,tt0283832,8 femmes,ok,PASS,8000000,42376425,International Gross,,,,,
2002,tt0298203,8 Mile,notalk,FAIL,41000000,116724075,Domestic Gross (US),,,,,
2002,tt0298203,8 Mile,notalk,FAIL,41000000,242924075,International Gross,,,,,
2007,tt0411061,88 Minutes,notalk,FAIL,30000000,16930884,Domestic Gross (US),,,,,
2007,tt0411061,88 Minutes,notalk,FAIL,30000000,32955399,International Gross,,,,,
1999,tt0134273,8MM,notalk,FAIL,40000000,36443442,Domestic Gross (US),,,,,
1999,tt0134273,8MM,notalk,FAIL,40000000,96398826,International Gross,,,,,
2001,tt0268978,A Beautiful Mind,notalk,FAIL,78000000,170708996,Domestic Gross (US),,,,,
2001,tt0268978,A Beautiful Mind,notalk,FAIL,78000000,317668058,International Gross,,,,,
1998,tt0120623,A Bug&#39;s Life,ok,PASS,45000000,162798565,Domestic Gross (US),,,,,
1998,tt0120623,A Bug&#39;s Life,ok,PASS,45000000,363095319,International Gross,,,,,
2004,tt0356470,A Cinderella Story,ok,PASS,19000000,51438175,Domestic Gross (US),,,,,
2004,tt0356470,A Cinderella Story,ok,PASS,19000000,70067909,International Gross,,,,,
2011,tt1571222,A Dangerous Method,dubious,FAIL,20000000,5702083,Domestic Gross (US),,,,,
2011,tt1571222,A Dangerous Method,dubious,FAIL,20000000,14807531,International Gross,,,,,
1992,tt0104257,A Few Good Men,notalk,FAIL,33000000,141340178,Domestic Gross (US),,,,,
1992,tt0104257,A Few Good Men,notalk,FAIL,33000000,236500000,International Gross,,,,,
2013,tt1606378,A Good Day to Die Hard,notalk,FAIL,92000000,67349198,Domestic Gross (US),,,,,
2013,tt1606378,A Good Day to Die Hard,notalk,FAIL,92000000,304249198,International Gross,,,,,
2004,tt0359423,A Home at the End of The World,dubious,FAIL,6500000,1029017,Domestic Gross (US),,,,,
2004,tt0359423,A Home at the End of The World,dubious,FAIL,6500000,1033810,International Gross,,,,,
2001,tt0183790,A Knight&#39;s Tale,men,FAIL,41000000,56083966,Domestic Gross (US),,,,,
2001,tt0183790,A Knight&#39;s Tale,men,FAIL,41000000,100622586,International Gross,,,,,
1992,tt0104694,A League of Their Own,ok,PASS,40000000,107533925,Domestic Gross (US),,,,,
1992,tt0104694,A League of Their Own,ok,PASS,40000000,132440066,International Gross,,,,,
1984,tt0087800,A nightmare on Elm Street,men,FAIL,35000000,63075011,Domestic Gross (US),,,,,
1984,tt0087800,A nightmare on Elm Street,men,FAIL,35000000,117729621,International Gross,,,,,
2009,tt0971209,A Perfect Getaway,dubious,FAIL,14000000,15515460,Domestic Gross (US),,,,,
2009,tt0971209,A Perfect Getaway,dubious,FAIL,14000000,22815460,International Gross,,,,,
2006,tt0405296,A Scanner Darkly,notalk,FAIL,20000000,5501616,Domestic Gross (US),,,,,
2006,tt0405296,A Scanner Darkly,notalk,FAIL,20000000,7405084,International Gross,,,,,
2009,tt1019452,A Serious Man,men,FAIL,7000000,9228788,Domestic Gross (US),,,,,
2009,tt1019452,A Serious Man,men,FAIL,7000000,30360570,International Gross,,,,,
1997,tt0120133,A Simple Wish,ok,PASS,28000000,8165213,Domestic Gross (US),,,,,
1997,tt0120133,A Simple Wish,ok,PASS,28000000,8165213,International Gross,,,,,
2009,tt1315981,A Single Man,notalk,FAIL,7000000,9176000,Domestic Gross (US),,,,,
2009,tt1315981,A Single Man,notalk,FAIL,7000000,28142379,International Gross,,,,,
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,20000000,35061031,Domestic Gross (US),,,,,
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,20000000,36265745,International Gross,,,,,
2004,tt0344510,A Very Long Engagement,ok,PASS,55000000,6167817,Domestic Gross (US),,,,,
2004,tt0344510,A Very Long Engagement,ok,PASS,55000000,59606587,International Gross,,,,,
2002,tt0257360,About Schmidt,notalk,FAIL,30000000,65005217,Domestic Gross (US),,,,,
2002,tt0257360,About Schmidt,notalk,FAIL,30000000,105823486,International Gross,,,,,
2013,tt2194499,About Time,ok,PASS,12000000,15323921,Domestic Gross (US),,,,,
2013,tt2194499,About Time,ok,PASS,12000000,87324746,International Gross,,,,,
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious,FAIL,67500000,37519139,Domestic Gross (US),,,,,
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious,FAIL,67500000,115119139,International Gross,,,,,
1994,tt0109040,Ace Ventura: Pet Detective,men,FAIL,12000000,72217396,Domestic Gross (US),,,,,
1994,tt0109040,Ace Ventura: Pet Detective,men,FAIL,12000000,107217396,International Gross,,,,,
2007,tt0445922,Across the Universe,ok,PASS,45000000,24343673,Domestic Gross (US),,,,,
2007,tt0445922,Across the Universe,ok,PASS,45000000,29367143,International Gross,,,,,
2012,tt1591479,Act of Valor,nowomen,FAIL,12000000,70012847,Domestic Gross (US),,,,,
2012,tt1591479,Act of Valor,nowomen,FAIL,12000000,82497035,International Gross,,,,,
1988,tt0094612,Action Jackson,notalk,FAIL,7000000,20257000,Domestic Gross (US),,,,,
1988,tt0094612,Action Jackson,notalk,FAIL,7000000,20257000,International Gross,,,,,
2009,tt1185836,Adam,men,FAIL,3200000,2277396,Domestic Gross (US),,,,,
2009,tt1185836,Adam,men,FAIL,3200000,2828590,International Gross,,,,,
2002,tt0268126,Adaptation,dubious,FAIL,18500000,22498520,Domestic Gross (US),,,,,
2002,tt0268126,Adaptation,dubious,FAIL,18500000,22498520,International Gross,,,,,
2013,tt1814621,Admission,ok,PASS,13000000,18007317,Domestic Gross (US),,,,,
2013,tt1814621,Admission,ok,PASS,13000000,18007317,International Gross,,,,,
2009,tt1091722,Adventureland,men,FAIL,9800000,16044025,Domestic Gross (US),,,,,
2009,tt1091722,Adventureland,men,FAIL,9800000,17144025,International Gross,,,,,
2005,tt0402022,AEon Flux,ok,PASS,55000000,25857987,Domestic Gross (US),,,,,
2005,tt0402022,AEon Flux,ok,PASS,55000000,47953341,International Gross,,,,,
2013,tt1815862,After Earth,notalk,FAIL,130000000,60522097,Domestic Gross (US),,,,,
2013,tt1815862,After Earth,notalk,FAIL,130000000,244373198,International Gross,,,,,
2009,tt1186830,Agora,notalk,FAIL,70000000,619423,Domestic Gross (US),,,,,
2009,tt1186830,Agora,notalk,FAIL,70000000,38992292,International Gross,,,,,
1997,tt0118570,Air Bud,notalk,FAIL,3000000,24646936,Domestic Gross (US),,,,,
1997,tt0118570,Air Bud,notalk,FAIL,3000000,27788649,International Gross,,,,,
1997,tt0118571,Air Force One,notalk,FAIL,85000000,172956409,Domestic Gross (US),,,,,
1997,tt0118571,Air Force One,notalk,FAIL,85000000,315268353,International Gross,,,,,
1980,tt0080339,Airplane!,dubious,FAIL,3500000,83453539,Domestic Gross (US),,,,,
1980,tt0080339,Airplane!,dubious,FAIL,3500000,83453539,International Gross,,,,,
2009,tt1077262,Ajami,men,FAIL,1000000,621859,Domestic Gross (US),,,,,
2009,tt1077262,Ajami,men,FAIL,1000000,621859,International Gross,,,,,
2006,tt0437800,Akeelah and the Bee,ok,PASS,8000000,18848430,Domestic Gross (US),,,,,
2006,tt0437800,Akeelah and the Bee,ok,PASS,8000000,18959424,International Gross,,,,,
1988,tt0094625,Akira,notalk,FAIL,8000000,19585,Domestic Gross (US),,,,,
1988,tt0094625,Akira,notalk,FAIL,8000000,19585,International Gross,,,,,
1992,tt0103639,Aladdin,nowomen,FAIL,28000000,217350219,Domestic Gross (US),,,,,
1992,tt0103639,Aladdin,nowomen,FAIL,28000000,504050219,International Gross,,,,,
2010,tt1014759,Alice in Wonderland,ok,PASS,200000000,334191110,Domestic Gross (US),,,,,
2010,tt1014759,Alice in Wonderland,ok,PASS,200000000,1024391110,International Gross,,,,,
1992,tt0103644,Alien 3,nowomen,FAIL,55000000,54927174,Domestic Gross (US),,,,,
1992,tt0103644,Alien 3,nowomen,FAIL,55000000,158500000,International Gross,,,,,
1997,tt0118583,Alien: Resurrection,ok,PASS,60000000,47795018,Domestic Gross (US),,,,,
1997,tt0118583,Alien: Resurrection,ok,PASS,60000000,160700000,International Gross,,,,,
1986,tt0090605,Aliens,ok,PASS,17000000,85160248,Domestic Gross (US),,,,,
1986,tt0090605,Aliens,ok,PASS,17000000,183316455,International Gross,,,,,
2009,tt0881891,All About Steve,ok,PASS,15000000,33862903,Domestic Gross (US),,,,,
2009,tt0881891,All About Steve,ok,PASS,15000000,40127259,International Gross,,,,,
2002,tt0286261,All or Nothing,ok,PASS,9000000,184255,Domestic Gross (US),,,,,
2002,tt0286261,All or Nothing,ok,PASS,9000000,184255,International Gross,,,,,
2000,tt0181875,Almost Famous,ok,PASS,60000000,32522352,Domestic Gross (US),,,,,
2000,tt0181875,Almost Famous,ok,PASS,60000000,47371191,International Gross,,,,,
2001,tt0164334,Along Came A Spider,ok,PASS,28000000,74058698,Domestic Gross (US),,,,,
2001,tt0164334,Along Came A Spider,ok,PASS,28000000,105159085,International Gross,,,,,
1984,tt0086879,Amadeus,ok,PASS,18000000,51973029,Domestic Gross (US),,,,,
1984,tt0086879,Amadeus,ok,PASS,18000000,51973029,International Gross,,,,,
1999,tt0169547,American Beauty,ok,PASS,15000000,130058047,Domestic Gross (US),,,,,
1999,tt0169547,American Beauty,ok,PASS,15000000,356258047,International Gross,,,,,
1998,tt0120586,American History X,men,FAIL,10000000,6719864,Domestic Gross (US),,,,,
1998,tt0120586,American History X,men,FAIL,10000000,6719864,International Gross,,,,,
2013,tt1800241,American Hustle,ok,PASS,40000000,148430908,Domestic Gross (US),,,,,
2013,tt1800241,American Hustle,ok,PASS,40000000,249484909,International Gross,,,,,
2001,tt0244000,American Outlaws,notalk,FAIL,35000000,13264986,Domestic Gross (US),,,,,
2001,tt0244000,American Outlaws,notalk,FAIL,35000000,13264986,International Gross,,,,,
1999,tt0163651,American Pie,men,FAIL,12000000,101800948,Domestic Gross (US),,,,,
1999,tt0163651,American Pie,men,FAIL,12000000,234723148,International Gross,,,,,
2000,tt0144084,American Psycho,notalk,FAIL,8000000,15070285,Domestic Gross (US),,,,,
2000,tt0144084,American Psycho,notalk,FAIL,8000000,28674417,International Gross,,,,,
2012,tt1602620,Amour,dubious,FAIL,9700000,6738954,Domestic Gross (US),,,,,
2012,tt1602620,Amour,dubious,FAIL,9700000,25915719,International Gross,,,,,
2009,tt1174732,An Education,ok,PASS,7500000,12574914,Domestic Gross (US),,,,,
2009,tt1174732,An Education,ok,PASS,7500000,29652736,International Gross,,,,,
1999,tt0122933,Analyze This,notalk,FAIL,30000000,106885658,Domestic Gross (US),,,,,
1999,tt0122933,Analyze This,notalk,FAIL,30000000,176885658,International Gross,,,,,
1997,tt0118617,Anastasia,ok,PASS,53000000,58403409,Domestic Gross (US),,,,,
1997,tt0118617,Anastasia,ok,PASS,53000000,139801410,International Gross,,,,,
2004,tt0357413,Anchorman: The Legend of Ron Burgundy,men,FAIL,25000000,84136909,Domestic Gross (US),,,,,
2004,tt0357413,Anchorman: The Legend of Ron Burgundy,men,FAIL,25000000,89366354,International Gross,,,,,
2009,tt0808151,Angels &amp; Demons,nowomen,FAIL,150000000,133375846,Domestic Gross (US),,,,,
2009,tt0808151,Angels &amp; Demons,nowomen,FAIL,150000000,490875846,International Gross,,,,,
2010,tt1313092,Animal Kingdom,notalk,FAIL,4200000,1044039,Domestic Gross (US),,,,,
2010,tt1313092,Animal Kingdom,notalk,FAIL,4200000,8078683,International Gross,,,,,
1999,tt0166485,Anna and the King,men,FAIL,75000000,39251128,Domestic Gross (US),,,,,
1999,tt0166485,Anna and the King,men,FAIL,75000000,39251128,International Gross,,,,,
2012,tt1781769,Anna Karenina,men,FAIL,49000000,12816367,Domestic Gross (US),,,,,
2012,tt1781769,Anna Karenina,men,FAIL,49000000,70735540,International Gross,,,,,
2011,tt1549572,Another Earth,ok,PASS,175000,1321194,Domestic Gross (US),,,,,
2011,tt1549572,Another Earth,ok,PASS,175000,1781194,International Gross,,,,,
2010,tt1431181,Another Year,ok,PASS,8000000,3205706,Domestic Gross (US),,,,,
2010,tt1431181,Another Year,ok,PASS,8000000,18505706,International Gross,,,,,
2001,tt0218817,Antitrust,men,FAIL,30000000,10965209,Domestic Gross (US),,,,,
2001,tt0218817,Antitrust,men,FAIL,30000000,17865209,International Gross,,,,,
2002,tt0168786,Antwone Fisher,notalk,FAIL,12500000,21078145,Domestic Gross (US),,,,,
2002,tt0168786,Antwone Fisher,notalk,FAIL,12500000,23367586,International Gross,,,,,
1999,tt0149691,Anywhere But Here,dubious,FAIL,23000000,18653615,Domestic Gross (US),,,,,
1999,tt0149691,Anywhere But Here,dubious,FAIL,23000000,18653615,International Gross,,,,,
1995,tt0112384,Apollo 13,ok,PASS,65000000,172070496,Domestic Gross (US),,,,,
1995,tt0112384,Apollo 13,ok,PASS,65000000,334100000,International Gross,,,,,
2011,tt1772240,Apollo 18,nowomen,FAIL,5000000,17686929,Domestic Gross (US),,,,,
2011,tt1772240,Apollo 18,nowomen,FAIL,5000000,26517819,International Gross,,,,,
2008,tt0800308,Appaloosa,notalk,FAIL,20000000,20211394,Domestic Gross (US),,,,,
2008,tt0800308,Appaloosa,notalk,FAIL,20000000,27735474,International Gross,,,,,
2006,tt0429591,Aquamarine,ok,PASS,12000000,18597342,Domestic Gross (US),,,,,
2006,tt0429591,Aquamarine,ok,PASS,12000000,22978953,International Gross,,,,,
2012,tt1024648,Argo,ok,PASS,44500000,136025503,Domestic Gross (US),,,,,
2012,tt1024648,Argo,ok,PASS,44500000,221300694,International Gross,,,,,
1998,tt0120591,Armageddon,notalk,FAIL,140000000,201578182,Domestic Gross (US),,,,,
1998,tt0120591,Armageddon,notalk,FAIL,140000000,554600000,International Gross,,,,,
2009,tt0913354,Armored,nowomen,FAIL,20000000,15988876,Domestic Gross (US),,,,,
2009,tt0913354,Armored,nowomen,FAIL,20000000,23661038,International Gross,,,,,
1992,tt0106308,Army of Darkness,men,FAIL,11000000,11502976,Domestic Gross (US),,,,,
1992,tt0106308,Army of Darkness,men,FAIL,11000000,21502976,International Gross,,,,,
2004,tt0327437,Around the World in 80 Days,notalk,FAIL,110000000,24004159,Domestic Gross (US),,,,,
2004,tt0327437,Around the World in 80 Days,notalk,FAIL,110000000,72004159,International Gross,,,,,
2011,tt1430607,Arthur Christmas,notalk,FAIL,85000000,46462469,Domestic Gross (US),,,,,
2011,tt1430607,Arthur Christmas,notalk,FAIL,85000000,147624649,International Gross,,,,,
2001,tt0212720,Artificial Intelligence: AI,notalk,FAIL,90000000,78616689,Domestic Gross (US),,,,,
2001,tt0212720,Artificial Intelligence: AI,notalk,FAIL,90000000,235900000,International Gross,,,,,
1997,tt0119822,As Good as It Gets,ok,PASS,50000000,148478011,Domestic Gross (US),,,,,
1997,tt0119822,As Good as It Gets,ok,PASS,50000000,314111923,International Gross,,,,,
1995,tt0112401,Assassins,notalk,FAIL,50000000,30306268,Domestic Gross (US),,,,,
1995,tt0112401,Assassins,notalk,FAIL,50000000,83306268,International Gross,,,,,
2005,tt0398712,Assault on Precinct 13,ok,PASS,30000000,20040895,Domestic Gross (US),,,,,
2005,tt0398712,Assault on Precinct 13,ok,PASS,30000000,36040895,International Gross,,,,,
2009,tt0375568,Astro Boy,dubious,FAIL,65000000,19551067,Domestic Gross (US),,,,,
2009,tt0375568,Astro Boy,dubious,FAIL,65000000,44093014,International Gross,,,,,
2001,tt0230011,Atlantis: The Lost Empire,notalk,FAIL,90000000,84052762,Domestic Gross (US),,,,,
2001,tt0230011,Atlantis: The Lost Empire,notalk,FAIL,90000000,186049020,International Gross,,,,,
2007,tt0783233,Atonement,ok,PASS,30000000,50980159,Domestic Gross (US),,,,,
2007,tt0783233,Atonement,ok,PASS,30000000,130200290,International Gross,,,,,
2011,tt1478964,Attack the Block,ok,PASS,13000000,1024175,Domestic Gross (US),,,,,
2011,tt1478964,Attack the Block,ok,PASS,13000000,5406422,International Gross,,,,,
1996,tt0115591,August,dubious,FAIL,3400000,12636,Domestic Gross (US),,,,,
1996,tt0115591,August,dubious,FAIL,3400000,12636,International Gross,,,,,
2013,tt1322269,August: Osage County,ok,PASS,25000000,37304874,Domestic Gross (US),,,,,
2013,tt1322269,August: Osage County,ok,PASS,25000000,50304874,International Gross,,,,,
2002,tt0295178,Austin Powers in Goldmember,notalk,FAIL,63000000,213117789,Domestic Gross (US),,,,,
2002,tt0295178,Austin Powers in Goldmember,notalk,FAIL,63000000,292738626,International Gross,,,,,
1997,tt0118655,Austin Powers: International Man of Mystery,men,FAIL,18000000,53883989,Domestic Gross (US),,,,,
1997,tt0118655,Austin Powers: International Man of Mystery,men,FAIL,18000000,67683989,International Gross,,,,,
1999,tt0145660,Austin Powers: The Spy Who Shagged Me,notalk,FAIL,35000000,206040085,Domestic Gross (US),,,,,
1999,tt0145660,Austin Powers: The Spy Who Shagged Me,notalk,FAIL,35000000,310332636,International Gross,,,,,
2008,tt0455824,Australia,men,FAIL,130000000,49554002,Domestic Gross (US),,,,,
2008,tt0455824,Australia,men,FAIL,130000000,215080810,International Gross,,,,,
2009,tt0499549,Avatar,men,FAIL,425000000,760507625,Domestic Gross (US),,,,,
2009,tt0499549,Avatar,men,FAIL,425000000,2783918982,International Gross,,,,,
2004,tt0370263,AVP: Alien vs. Predator,dubious,FAIL,70000000,80281096,Domestic Gross (US),,,,,
2004,tt0370263,AVP: Alien vs. Predator,dubious,FAIL,70000000,172543519,International Gross,,,,,
2009,tt1176740,Away We Go,ok,PASS,21000000,9451946,Domestic Gross (US),,,,,
2009,tt1176740,Away We Go,ok,PASS,21000000,10108016,International Gross,,,,,
2008,tt0871426,Baby Mama,ok,PASS,30000000,60494212,Domestic Gross (US),,,,,
2008,tt0871426,Baby Mama,ok,PASS,30000000,64391484,International Gross,,,,,
1985,tt0088763,Back to the Future,notalk,FAIL,19000000,210609762,Domestic Gross (US),,,,,
1985,tt0088763,Back to the Future,notalk,FAIL,19000000,383874862,International Gross,,,,,
1989,tt0096874,Back to the Future Part II,ok,PASS,40000000,118450002,Domestic Gross (US),,,,,
1989,tt0096874,Back to the Future Part II,ok,PASS,40000000,332000000,International Gross,,,,,
1990,tt0099088,Back to the Future Part III,notalk,FAIL,40000000,87666629,Domestic Gross (US),,,,,
1990,tt0099088,Back to the Future Part III,notalk,FAIL,40000000,243700000,International Gross,,,,,
2011,tt1284575,Bad Teacher,ok,PASS,19000000,100292856,Domestic Gross (US),,,,,
2011,tt1284575,Bad Teacher,ok,PASS,19000000,216412265,International Gross,,,,,
2004,tt0414852,Banlieue 13,nowomen,FAIL,15000000,1200216,Domestic Gross (US),,,,,
2004,tt0414852,Banlieue 13,nowomen,FAIL,15000000,11208291,International Gross,,,,,
2010,tt1423894,Barney&#39;s Version,ok,PASS,30000000,7502560,Domestic Gross (US),,,,,
2010,tt1423894,Barney&#39;s Version,ok,PASS,30000000,8845575,International Gross,,,,,
1989,tt0096895,Batman,notalk,FAIL,35000000,251188924,Domestic Gross (US),,,,,
1989,tt0096895,Batman,notalk,FAIL,35000000,411348924,International Gross,,,,,
1997,tt0118688,Batman &amp; Robin,men,FAIL,125000000,107325195,Domestic Gross (US),,,,,
1997,tt0118688,Batman &amp; Robin,men,FAIL,125000000,238317814,International Gross,,,,,
2005,tt0372784,Batman Begins,notalk,FAIL,150000000,205343774,Domestic Gross (US),,,,,
2005,tt0372784,Batman Begins,notalk,FAIL,150000000,373298774,International Gross,,,,,
1995,tt0112462,Batman Forever,notalk,FAIL,100000000,184031112,Domestic Gross (US),,,,,
1995,tt0112462,Batman Forever,notalk,FAIL,100000000,336529144,International Gross,,,,,
1992,tt0103776,Batman Returns,nowomen,FAIL,80000000,162833635,Domestic Gross (US),,,,,
1992,tt0103776,Batman Returns,nowomen,FAIL,80000000,266824291,International Gross,,,,,
2011,tt1217613,Battle: Los Angeles,notalk,FAIL,70000000,83552429,Domestic Gross (US),,,,,
2011,tt1217613,Battle: Los Angeles,notalk,FAIL,70000000,212005201,International Gross,,,,,
2012,tt1440129,Battleship,notalk,FAIL,209000000,65235400,Domestic Gross (US),,,,,
2012,tt1440129,Battleship,notalk,FAIL,209000000,304142720,International Gross,,,,,
2008,tt0799934,Be Kind Rewind,notalk,FAIL,20000000,11175164,Domestic Gross (US),,,,,
2008,tt0799934,Be Kind Rewind,notalk,FAIL,20000000,30894247,International Gross,,,,,
2011,tt1152398,Beastly,notalk,FAIL,17000000,27865571,Domestic Gross (US),,,,,
2011,tt1152398,Beastly,notalk,FAIL,17000000,38028230,International Gross,,,,,
2012,tt2125435,Beasts of the Southern Wild,dubious,FAIL,1800000,12795746,Domestic Gross (US),,,,,
2012,tt2125435,Beasts of the Southern Wild,dubious,FAIL,1800000,21080058,International Gross,,,,,
2013,tt1559547,Beautiful Creatures,ok,PASS,50000000,19452138,Domestic Gross (US),,,,,
2013,tt1559547,Beautiful Creatures,ok,PASS,50000000,55940671,International Gross,,,,,
2000,tt0221889,Beautiful Creatures,ok,PASS,50000000,19452138,Domestic Gross (US),,,,,
2000,tt0221889,Beautiful Creatures,ok,PASS,50000000,55940671,International Gross,,,,,
1991,tt0101414,Beauty and the Beast,ok,PASS,20000000,218951625,Domestic Gross (US),,,,,
1991,tt0101414,Beauty and the Beast,ok,PASS,20000000,451421625,International Gross,,,,,
2005,tt0388500,Beauty Shop,ok,PASS,25000000,36351350,Domestic Gross (US),,,,,
2005,tt0388500,Beauty Shop,ok,PASS,25000000,38351350,International Gross,,,,,
2007,tt0416508,Becoming Jane,ok,PASS,16500000,18663911,Domestic Gross (US),,,,,
2007,tt0416508,Becoming Jane,ok,PASS,16500000,39364948,International Gross,,,,,
2008,tt0960731,Bedtime Stories,ok,PASS,80000000,110101975,Domestic Gross (US),,,,,
2008,tt0960731,Bedtime Stories,ok,PASS,80000000,218357961,International Gross,,,,,
1988,tt0094721,Beetle Juice,ok,PASS,15000000,73326666,Domestic Gross (US),,,,,
1988,tt0094721,Beetle Juice,ok,PASS,15000000,73326666,International Gross,,,,,
1995,tt0112471,Before Sunrise,nowomen,FAIL,2500000,5274005,Domestic Gross (US),,,,,
1995,tt0112471,Before Sunrise,nowomen,FAIL,2500000,5274005,International Gross,,,,,
2004,tt0381681,Before Sunset,nowomen,FAIL,2000000,5792822,Domestic Gross (US),,,,,
2004,tt0381681,Before Sunset,nowomen,FAIL,2000000,11293790,International Gross,,,,,
2010,tt1532503,Beginners,notalk,FAIL,3200000,5790894,Domestic Gross (US),,,,,
2010,tt1532503,Beginners,notalk,FAIL,3200000,11564267,International Gross,,,,,
1999,tt0120601,Being John Malkovich,ok,PASS,13000000,22858926,Domestic Gross (US),,,,,
